2025-09-13 13:05:40 | INFO     | root                 | Logging system initialized
2025-09-13 13:05:40 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:05:40 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:05:40 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-13 13:05:40 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-13 13:05:40 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-13 13:05:42 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-13 13:05:52 | ERROR    | src.kiwoom.kiwoom_connector | Kiwoom login failed or timed out
2025-09-13 13:05:52 | ERROR    | __main__             | Unable to login to Kiwoom API
2025-09-13 13:13:56 | INFO     | root                 | Logging system initialized
2025-09-13 13:13:56 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:13:56 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:13:56 | ERROR    | src.kiwoom.kiwoom_connector | Failed to connect OCX events: 'QAxWidget' object has no attribute 'OnEventConnect'
2025-09-13 13:13:56 | ERROR    | __main__             | Failed to start application: 'QAxWidget' object has no attribute 'OnEventConnect'
2025-09-13 13:14:15 | INFO     | root                 | Logging system initialized
2025-09-13 13:14:15 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:14:15 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:14:15 | ERROR    | src.kiwoom.kiwoom_connector | Failed to connect OCX events: 'QAxWidget' object has no attribute 'OnEventConnect'
2025-09-13 13:14:15 | ERROR    | __main__             | Failed to start application: 'QAxWidget' object has no attribute 'OnEventConnect'
2025-09-13 13:19:31 | INFO     | root                 | Logging system initialized
2025-09-13 13:19:31 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:19:31 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:19:31 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-13 13:19:31 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-13 13:19:31 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-13 13:19:33 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-13 13:19:43 | ERROR    | src.kiwoom.kiwoom_connector | Kiwoom login failed or timed out
2025-09-13 13:19:43 | ERROR    | __main__             | Unable to login to Kiwoom API
2025-09-13 13:26:48 | INFO     | root                 | Logging system initialized
2025-09-13 13:26:48 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:26:48 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:26:48 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-13 13:26:48 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-13 13:26:48 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-13 13:26:50 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-13 13:27:01 | INFO     | src.kiwoom.kiwoom_connector | OnEventConnect received with error code: 0
2025-09-13 13:27:01 | INFO     | src.kiwoom.kiwoom_connector | Successfully connected to Kiwoom server
2025-09-13 13:27:01 | INFO     | src.kiwoom.kiwoom_connector | Login info - User: 최재현 (jac226)
2025-09-13 13:27:01 | INFO     | src.kiwoom.kiwoom_connector | Available accounts: ['5133098311', '5590332010']
2025-09-13 13:27:01 | INFO     | src.kiwoom.kiwoom_connector | Default account set to: 5133098311
2025-09-13 13:27:21 | INFO     | src.core.throttler   | Throttler initialized: orders=5/s, queries=5/s, reserved=4, auto_pause=True
